X,Y,metro,metro_id,address,city,state,zip
-71.412746,41.824385,"Providence-New Bedford-Fall River, RI-MA Metro Area",39300,25 Dorrance St,Providence,RI,02903
-78.642281,35.778388,"Raleigh-Cary, NC Metro Area",39580,222 W Hargett St,Raleigh,NC,27601
-77.433455,37.540605,"Richmond, VA Metro Area",40060,900 E Broad St,Richmond,VA,23219
-118.243899,34.05349,"Riverside-San Bernardino-Ontario, CA Metro Area",40140,200 N Spring St,Los Angeles,CA,90012
-77.614743,43.156786,"Rochester, NY Metro Area",40380,30 Church St,Rochester,NY,14614
-121.494043,38.581707,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",40900,915 I St,Sacramento,CA,95814
-111.888196,40.76001,"Salt Lake City, UT Metro Area",41620,451 S State St,Salt Lake City,UT,84111
-98.494995,29.424943,"San Antonio-New Braunfels, TX Metro Area",41700,100 Military Plaza,San Antonio,TX,78205
-117.162864,32.716789,"San Diego-Carlsbad-San Marcos, CA Metro Area",41740,202 C St,San Diego,CA,92154
-122.418291,37.778492,"San Francisco-Oakland-Fremont, CA Metro Area",41860,1 Carlton B Goodlett Pl,San Francisco,CA,94102
-122.272288,37.805187,"San Francisco-Oakland-Fremont, CA Metro Area",41860,1 Frank H Ogawa Plaza,Oakland,CA,94612
-121.886309,37.338195,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",41940,200 E Santa Clara St,San Jose,CA,95113
-122.330476,47.603512,"Seattle-Tacoma-Bellevue, WA Metro Area",42660,600 4th Ave,Seattle,WA,98104
-90.199108,38.627614,"St. Louis, MO-IL Metro Area",41180,1200 Market St,Saint Louis,MO,63103
-82.457352,27.947875,"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,315 E Kennedy Blvd,Tampa,FL,33602
-82.640122,27.773118,"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,175 5th St N,St Petersburg,FL,33701
-76.286925,36.844364,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",47260,810 Union St,Norfolk,VA,23510
-77.030736,38.895466,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,1350 Pennsylvania Ave NW,Washington,DC,20004
